config_id,config_name,trial_idx,length,runtime,gap_pct
1,100% Hilbert,2,268818.138309594,6.242235898971558,6.8074240725017
2,100% Random,2,266953.47515189287,6.23512864112854,6.066551935341136
1,100% Hilbert,3,268421.5072094281,6.314046621322632,6.649833716500608
2,100% Random,3,266711.5734044631,6.716483116149902,5.9704389919062795
1,100% Hilbert,4,269298.01463697816,6.724624156951904,6.9980896084048005
2,100% Random,4,267050.18493182416,6.729614019393921,6.104976881447932
1,100% Hilbert,5,268709.27820708865,6.688321352005005,6.7641715330488905
2,100% Random,5,267147.1689159411,6.669317722320557,6.143510774975192
1,100% Hilbert,6,267564.7757660018,6.170198440551758,6.309435262848284
2,100% Random,6,265902.5406333562,6.7499096393585205,5.648992281444176
1,100% Hilbert,7,268912.3025894449,6.165621757507324,6.844837634822154
2,100% Random,7,265961.87616198126,6.725651025772095,5.67256760641397
1,100% Hilbert,8,268062.1983011965,6.2561936378479,6.507072297290395
2,100% Random,8,265908.9192486284,6.25620436668396,5.651526647133398
1,100% Hilbert,9,268507.0748923223,6.696161508560181,6.683831659687223
2,100% Random,9,266616.9610804131,6.68818473815918,5.932847411662334
1,100% Hilbert,10,267976.8496466497,6.758009910583496,6.473161378936743
2,100% Random,10,266994.0163903146,6.753248691558838,6.082659870883589
1,100% Hilbert,11,268920.0860069359,6.21672797203064,6.847930159671578
2,100% Random,11,267126.0352787321,6.778883934020996,6.135113910962331
1,100% Hilbert,12,268833.1660141944,6.165879726409912,6.813394913711224
2,100% Random,12,266847.1101629681,6.1728668212890625,6.024290759997841
1,100% Hilbert,13,268540.80749641196,6.725491285324097,6.697234373405614
2,100% Random,13,267123.9693262707,6.718872785568237,6.134293062108731
1,100% Hilbert,14,268735.3711647119,6.304821491241455,6.774538845342981
2,100% Random,14,266759.9461769314,6.306813478469849,5.989658570075629
1,100% Hilbert,15,268525.0326554434,6.221263408660889,6.69096667830289
2,100% Random,15,266701.983752935,6.214759111404419,5.966628810108632
1,100% Hilbert,16,269053.66662829963,6.199533462524414,6.901004710978187
2,100% Random,16,267126.45444683114,6.172536373138428,6.135280455769143
1,100% Hilbert,17,268636.3885030816,6.177034139633179,6.735210832794958
2,100% Random,17,266520.58411022474,6.152934789657593,5.894554698267096
1,100% Hilbert,18,269460.6518837985,6.171940326690674,7.062709003138945
2,100% Random,18,266817.289626443,6.6733434200286865,6.0124423977157
1,100% Hilbert,19,269421.83128769055,4.742321729660034,7.047284717049762
2,100% Random,19,265944.25831179536,5.95421290397644,5.665567642766112
1,100% Hilbert,20,268524.511940664,5.948238849639893,6.690759786741851
2,100% Random,20,266477.23668373446,6.044107437133789,5.8773318018036536
1,100% Hilbert,21,268786.3804316074,4.875446081161499,6.794805961376138
2,100% Random,21,266223.67634902673,5.491252660751343,5.776586642390713
1,100% Hilbert,22,267830.5381948669,5.920377969741821,6.41502858560854
2,100% Random,22,266530.24576904514,6.068233489990234,5.898393490163212
1,100% Hilbert,23,268996.831684349,5.92535924911499,6.87842292390517
2,100% Random,23,267042.9492086422,5.4493727684021,6.102101967726603
1,100% Hilbert,24,269040.238077185,5.722225189208984,6.8956692490089955
2,100% Random,24,265944.01075393695,5.509973526000977,5.665469282524005
1,100% Hilbert,25,268701.67472446617,5.690849304199219,6.761150500323976
2,100% Random,25,267061.0843522423,5.528022527694702,6.109307463551006
1,100% Hilbert,26,268553.3122770633,6.129556655883789,6.702202800827806
2,100% Random,26,266771.8144689107,4.494274854660034,5.994374106394806
1,100% Hilbert,27,268512.6084079497,5.2609992027282715,6.686030248495034
2,100% Random,27,265986.45288295706,5.135063886642456,5.682332484171404
1,100% Hilbert,28,268642.31146550644,5.105916976928711,6.737564157475573
2,100% Random,28,266859.70918433956,4.983348608016968,6.029296631353787
1,100% Hilbert,29,267715.85051166883,6.024129152297974,6.369460618758316
2,100% Random,29,267092.96428691904,6.546006679534912,6.121974070513758
1,100% Hilbert,30,268311.4711969868,5.17304253578186,6.606113961881466
2,100% Random,30,266103.04034415714,5.123883008956909,5.728655275067274
1,100% Hilbert,31,268161.14121581457,5.116937637329102,6.546384517466586
2,100% Random,31,267705.9590962806,5.143778324127197,6.365530539468689
1,100% Hilbert,32,268620.9777567815,5.034861326217651,6.7290878006004196
2,100% Random,32,266954.20364954683,5.184021472930908,6.066841383658694
1,100% Hilbert,33,269021.1044118195,5.142539739608765,6.8880670182830395
2,100% Random,33,266263.25151070306,5.1227405071258545,5.7923107341595115
1,100% Hilbert,34,268606.98600542045,5.099179267883301,6.723528566649417
2,100% Random,34,265605.4832254201,5.169684410095215,5.530964767591051
1,100% Hilbert,35,268576.6760081273,5.052067041397095,6.711485730719957
2,100% Random,35,267803.1117204599,5.087153196334839,6.404131437442762
1,100% Hilbert,36,268965.7555064973,4.950003385543823,6.866075667402205
2,100% Random,36,267412.97442798386,5.453732967376709,6.249121215639963
1,100% Hilbert,37,268083.7445289842,5.571351051330566,6.5156330927149675
2,100% Random,37,266320.4401900892,5.392749547958374,5.815033068187114
1,100% Hilbert,38,268760.7926728953,5.531968116760254,6.784639375843571
2,100% Random,38,267150.4477515338,5.4378979206085205,6.144813529267812
1,100% Hilbert,39,268078.0186593083,5.578693866729736,6.513358077366305
2,100% Random,39,266487.7934724955,5.378472328186035,5.881526248730262
1,100% Hilbert,40,269686.640024689,5.454258918762207,7.152499116824096
2,100% Random,40,266848.567633516,5.316182613372803,6.02486984545636
1,100% Hilbert,41,268413.4355865582,5.46718692779541,6.646626681245316
2,100% Random,41,266353.6556543118,5.2761921882629395,5.828230310736648
1,100% Hilbert,42,266698.01993566315,5.5282416343688965,5.965053897362904
2,100% Random,42,266825.5383557435,5.342045307159424,6.015719801294184
1,100% Hilbert,43,268795.7407955857,5.513986110687256,6.798525042131565
2,100% Random,43,266564.07811619795,5.323951959609985,5.911835834018597
1,100% Hilbert,44,267990.2483144095,5.5291361808776855,6.4784849675845635
2,100% Random,44,266511.1056472507,5.352590799331665,5.89078869415447
1,100% Hilbert,45,269043.0858455403,5.628914833068848,6.8968007307025125
2,100% Random,45,267424.24314122123,5.362115383148193,6.253598525992099
1,100% Hilbert,46,267880.13123283733,5.823476791381836,6.434733002396986
2,100% Random,46,266428.4262590556,5.9207634925842285,5.857938334678958
1,100% Hilbert,47,268840.01320192235,5.978848695755005,6.8161154536568125
2,100% Random,47,265883.20803578047,5.668797731399536,5.641311010527428
1,100% Hilbert,48,268196.25565197796,5.910599231719971,6.560336263795752
2,100% Random,48,267081.08382586,5.657893896102905,6.117253699148595
1,100% Hilbert,49,268652.2254395834,5.864889144897461,6.741503199833887
2,100% Random,49,265351.0498462794,6.072397470474243,5.429872728210916
1,100% Hilbert,50,268015.29754651757,5.865480899810791,6.488437584522089
2,100% Random,50,266274.0986087384,6.011418581008911,5.796620527416407
3,100% Greedy NN,2,266373.01455842715,6.404152870178223,5.835922033826568
4,50% Hilbert + 50% Random,2,267345.0429715065,5.247800588607788,6.222130537386383
3,100% Greedy NN,3,265775.2868651381,5.5929272174835205,5.598431529582859
4,50% Hilbert + 50% Random,3,266568.6200787558,5.349509000778198,5.913640456742653
3,100% Greedy NN,4,266302.7028206389,5.0990376472473145,5.807985616877742
4,50% Hilbert + 50% Random,4,266553.3566901218,5.265433311462402,5.907575973025669
3,100% Greedy NN,5,266314.6855298327,5.083162546157837,5.812746613700548
4,50% Hilbert + 50% Random,5,267057.38988305256,5.314007997512817,6.107839568787843
3,100% Greedy NN,6,266049.1925959849,5.662111759185791,5.707260367303424
4,50% Hilbert + 50% Random,6,267469.89144065225,5.398589372634888,6.271735610439522
3,100% Greedy NN,7,264786.8024708232,5.58836555480957,5.205684698745694
4,50% Hilbert + 50% Random,7,266764.99319335225,5.319267749786377,5.991663861930396
3,100% Greedy NN,8,266549.04475510493,5.590298414230347,5.9058627453587365
4,50% Hilbert + 50% Random,8,268345.2949371375,5.359298944473267,6.619552885983526
3,100% Greedy NN,9,266274.0750722642,5.551705360412598,5.796611175851818
4,50% Hilbert + 50% Random,9,266909.58617277106,5.468416213989258,6.049113867974643
3,100% Greedy NN,10,265452.950720257,5.617334842681885,5.470360211416958
4,50% Hilbert + 50% Random,10,267220.5375385605,5.433172702789307,6.172661760243536
3,100% Greedy NN,11,266352.6741736897,5.618821859359741,5.82784034666024
4,50% Hilbert + 50% Random,11,265612.26172025444,5.334728002548218,5.53365801432244
3,100% Greedy NN,12,265857.96095880977,5.704935789108276,5.63127978542648
4,50% Hilbert + 50% Random,12,266849.6463654081,5.472472190856934,6.025298449624916
3,100% Greedy NN,13,266700.76677282713,5.480029821395874,5.96614527684971
4,50% Hilbert + 50% Random,13,267163.43782173767,5.448162317276001,6.149974773020639
3,100% Greedy NN,14,265863.70006254513,5.636217832565308,5.633560058961273
4,50% Hilbert + 50% Random,14,267073.95408384,5.383929967880249,6.114420894099637
3,100% Greedy NN,15,265916.4574329248,5.614490985870361,5.654521735381346
4,50% Hilbert + 50% Random,15,266280.7402702506,5.291772365570068,5.799259407226165
3,100% Greedy NN,16,266084.67123431107,5.157704591751099,5.721356819250634
4,50% Hilbert + 50% Random,16,267869.1326139957,4.76665472984314,6.430363006554374
3,100% Greedy NN,17,266395.7341851196,5.195292234420776,5.844949046728942
4,50% Hilbert + 50% Random,17,266373.2934932987,5.197523355484009,5.836032860853724
3,100% Greedy NN,18,265940.2157490755,5.0843589305877686,5.663961442702847
4,50% Hilbert + 50% Random,18,266704.5110349007,4.948099374771118,5.967632955432878
3,100% Greedy NN,19,266045.17217876087,5.642991781234741,5.705662966138103
4,50% Hilbert + 50% Random,19,267881.1595983419,5.947033882141113,6.4351415948797674
3,100% Greedy NN,20,266072.83978928294,5.5876288414001465,5.7166559230445335
4,50% Hilbert + 50% Random,20,267093.1546385209,5.893467426300049,6.122049701438037
3,100% Greedy NN,21,265952.30715289136,7.630596399307251,5.668765626316019
4,50% Hilbert + 50% Random,21,267260.59992177854,8.079652070999146,6.188579435965247
3,100% Greedy NN,22,265788.2943311735,5.105353116989136,5.603599685086391
4,50% Hilbert + 50% Random,22,268572.3977111683,5.0326642990112305,6.709785868201434
3,100% Greedy NN,23,265566.8259931774,5.588068723678589,5.515605389598255
4,50% Hilbert + 50% Random,23,266957.56599838135,5.967149496078491,6.06817731961935
3,100% Greedy NN,24,265275.3938758443,5.4133782386779785,5.3998129287915475
4,50% Hilbert + 50% Random,24,267674.7134377726,5.471153974533081,6.353115944532206
3,100% Greedy NN,25,266026.75544990203,4.851947069168091,5.698345590228793
4,50% Hilbert + 50% Random,25,267116.58243566647,5.561628818511963,6.131358086209038
3,100% Greedy NN,26,266714.55941153504,5.211561918258667,5.971625398915936
4,50% Hilbert + 50% Random,26,267702.82020123437,5.11678671836853,6.364283386667036
3,100% Greedy NN,27,266290.9760571581,5.084638357162476,5.8033263129781965
4,50% Hilbert + 50% Random,27,266967.5953180725,5.062187194824219,6.072162191355113
3,100% Greedy NN,28,266208.7932617375,5.004331350326538,5.770673260854764
4,50% Hilbert + 50% Random,28,267962.2680750375,5.537248849868774,6.467367796284096
3,100% Greedy NN,29,266657.9725111383,5.969803333282471,5.9491421650626375
4,50% Hilbert + 50% Random,29,267458.0203600322,6.103156328201294,6.267018966131377
3,100% Greedy NN,30,264591.97665825277,5.929879665374756,5.128276071060323
4,50% Hilbert + 50% Random,30,267323.1718490549,5.375793933868408,6.2134406540871545
3,100% Greedy NN,31,266917.69471823506,6.277844429016113,6.052335573397616
4,50% Hilbert + 50% Random,31,267355.8350996852,5.043704032897949,6.226418489896868
3,100% Greedy NN,32,266225.7180981948,5.319593191146851,5.777397874737655
4,50% Hilbert + 50% Random,32,267265.91124351334,5.325669527053833,6.190689742198607
3,100% Greedy NN,33,265935.2186915071,5.585055828094482,5.661976000611113
4,50% Hilbert + 50% Random,33,267352.11953005125,5.83720850944519,6.2249422114579955
3,100% Greedy NN,34,265932.3007241875,5.624958276748657,5.660816627308063
4,50% Hilbert + 50% Random,34,266409.2353307412,5.429269075393677,5.850313352110037
3,100% Greedy NN,35,266606.3791819218,5.60224175453186,5.928642988081534
4,50% Hilbert + 50% Random,35,267044.43036761764,5.277117729187012,6.10269046512415
3,100% Greedy NN,36,265960.47929385223,5.1019287109375,5.672012599644072
4,50% Hilbert + 50% Random,36,267212.76570163894,5.244908809661865,6.169573836611897
3,100% Greedy NN,37,265641.86138416105,5.2840845584869385,5.545418619001707
4,50% Hilbert + 50% Random,37,267002.10936170584,5.391854286193848,6.085875388381123
3,100% Greedy NN,38,265820.59942197404,5.597012281417847,5.616435216031324
4,50% Hilbert + 50% Random,38,267825.7989487817,5.276871681213379,6.413145577752011
3,100% Greedy NN,39,265558.2329963992,5.536101341247559,5.512191200895389
4,50% Hilbert + 50% Random,39,267040.9349568136,4.783421516418457,6.1013016606840775
3,100% Greedy NN,40,265917.8392704205,5.626178026199341,5.655070770146353
4,50% Hilbert + 50% Random,40,266244.8112965316,5.280610799789429,5.78498402701324
3,100% Greedy NN,41,266245.3461344292,5.252622842788696,5.7851965300032
4,50% Hilbert + 50% Random,41,266887.8154257203,5.099789142608643,6.040463866054213
3,100% Greedy NN,42,265580.3430211871,5.046247720718384,5.520976005405331
4,50% Hilbert + 50% Random,42,266438.1964009764,5.027693033218384,5.8618202293232
3,100% Greedy NN,43,265877.5213559757,4.928006887435913,5.639051566186004
4,50% Hilbert + 50% Random,43,266960.7611654635,6.082463502883911,6.069446830552172
3,100% Greedy NN,44,266405.2336963121,5.895646095275879,5.84872341376681
4,50% Hilbert + 50% Random,44,267384.9425115669,5.4220874309539795,6.2379835119004134
3,100% Greedy NN,45,266245.2692123634,5.790964841842651,5.785165967155925
4,50% Hilbert + 50% Random,45,266337.80957593245,5.457869529724121,5.821934311426502
3,100% Greedy NN,46,265674.58630257484,5.778858423233032,5.558420956793131
4,50% Hilbert + 50% Random,46,267385.43031399057,5.374726295471191,6.238177326650618
3,100% Greedy NN,47,266436.20864152565,5.831018447875977,5.861030448291515
4,50% Hilbert + 50% Random,47,266340.807098457,5.973210573196411,5.8231252937815725
3,100% Greedy NN,48,266361.2019608092,6.2735066413879395,5.831228626115625
4,50% Hilbert + 50% Random,48,266550.5661569758,5.284564971923828,5.906467232153534
3,100% Greedy NN,49,266566.74712172605,5.262547016143799,5.912896289265701
4,50% Hilbert + 50% Random,49,266578.60122494574,5.371084928512573,5.917606188075175
3,100% Greedy NN,50,266637.67327028187,5.6122987270355225,5.941076825275182
4,50% Hilbert + 50% Random,50,268055.55821001844,5.461739540100098,6.504434041409324
5,50% Hilbert + 50% Greedy NN,2,266997.17526842875,5.432286262512207,6.083914963402459
6,50% Random + 50% Greedy NN,2,266790.30443416873,4.852025270462036,6.0017205807541
5,50% Hilbert + 50% Greedy NN,3,266108.81068348174,6.117035388946533,5.730947959196264
6,50% Random + 50% Greedy NN,3,266241.10069965175,5.566627025604248,5.78350972436017
5,50% Hilbert + 50% Greedy NN,4,266091.29559667315,5.51932954788208,5.723988825723358
6,50% Random + 50% Greedy NN,4,266445.5773030283,6.035568475723267,5.864752825837916
5,50% Hilbert + 50% Greedy NN,5,267090.08679384517,5.093806505203247,6.120830778528541
6,50% Random + 50% Greedy NN,5,266402.9091232768,4.993915557861328,5.847799809208243
5,50% Hilbert + 50% Greedy NN,6,266204.2721060907,5.962954759597778,5.76887690517911
6,50% Random + 50% Greedy NN,6,266662.3641129297,5.954071760177612,5.95088704611062
5,50% Hilbert + 50% Greedy NN,7,266915.1198356551,5.441697597503662,6.051312515290808
6,50% Random + 50% Greedy NN,7,267107.9765329644,5.942681789398193,6.127938769695618
5,50% Hilbert + 50% Greedy NN,8,266033.06449453055,5.420007705688477,5.70085231395423
6,50% Random + 50% Greedy NN,8,265774.1455623664,5.664614200592041,5.597978064612463
5,50% Hilbert + 50% Greedy NN,9,266083.64764364646,5.385712623596191,5.720950123917956
6,50% Random + 50% Greedy NN,9,266942.90343971614,5.098673105239868,6.062351559009627
5,50% Hilbert + 50% Greedy NN,10,266750.21090538776,4.71285343170166,5.985790530207646
6,50% Random + 50% Greedy NN,10,265760.7391657881,5.125689744949341,5.592651405133209
5,50% Hilbert + 50% Greedy NN,11,265743.2035917466,5.029754638671875,5.5856841316271
6,50% Random + 50% Greedy NN,11,266873.5655484897,5.25249457359314,6.034802072955281
5,50% Hilbert + 50% Greedy NN,12,266921.82834708324,5.257991075515747,6.053977956058709
6,50% Random + 50% Greedy NN,12,266341.9856054705,5.127940893173218,5.823593540824534
5,50% Hilbert + 50% Greedy NN,13,266976.9035858706,5.014558792114258,6.075860573139691
6,50% Random + 50% Greedy NN,13,266831.05152690003,5.983320236206055,6.01791030679133
5,50% Hilbert + 50% Greedy NN,14,266935.1044067743,6.174452781677246,6.059252829794359
6,50% Random + 50% Greedy NN,14,266595.48438033223,5.20194411277771,5.92431424114177
5,50% Hilbert + 50% Greedy NN,15,267793.399661248,5.1806042194366455,6.400272620350367
6,50% Random + 50% Greedy NN,15,266057.5885116651,5.120972394943237,5.710596251303568
5,50% Hilbert + 50% Greedy NN,16,266897.76506553305,5.027798652648926,6.0444170792024465
6,50% Random + 50% Greedy NN,16,267108.1650322324,6.091054439544678,6.128013664646459
5,50% Hilbert + 50% Greedy NN,17,266847.5683154943,6.399365186691284,6.0244727941844545
6,50% Random + 50% Greedy NN,17,266940.6312310186,4.476201772689819,6.061448759966881
5,50% Hilbert + 50% Greedy NN,18,267521.63661393896,5.254148721694946,6.292295118446289
6,50% Random + 50% Greedy NN,18,266780.019224632,5.260315656661987,5.997634038292432
5,50% Hilbert + 50% Greedy NN,19,266802.098958363,5.110365390777588,6.006406807491893
6,50% Random + 50% Greedy NN,19,265907.207165725,5.083798408508301,5.650846398524201
5,50% Hilbert + 50% Greedy NN,20,265874.12946944433,5.069137334823608,5.637703894241541
6,50% Random + 50% Greedy NN,20,266318.89553709445,5.046213865280151,5.814419343203747
5,50% Hilbert + 50% Greedy NN,21,266667.7945856116,5.030559778213501,5.953044693664844
6,50% Random + 50% Greedy NN,21,266784.0432315624,5.530697822570801,5.9992328657279215
5,50% Hilbert + 50% Greedy NN,22,266373.82466607273,6.018894195556641,5.8362439076085515
6,50% Random + 50% Greedy NN,22,266152.92520388134,5.469060659408569,5.74847563912777
5,50% Hilbert + 50% Greedy NN,23,267134.1769473153,5.397146224975586,6.13834877693713
6,50% Random + 50% Greedy NN,23,267280.1204507649,5.370763063430786,6.196335376210471
5,50% Hilbert + 50% Greedy NN,24,267121.0472917922,5.540110111236572,6.133132072832992
6,50% Random + 50% Greedy NN,24,266662.49437962903,5.425886392593384,5.950938803967021
5,50% Hilbert + 50% Greedy NN,25,265743.5006951074,5.481308698654175,5.585802177399035
6,50% Random + 50% Greedy NN,25,266240.40959705,5.402122497558594,5.783235133928399
5,50% Hilbert + 50% Greedy NN,26,266530.12670103414,6.0350422859191895,5.8983461817947225
6,50% Random + 50% Greedy NN,26,266193.1269317301,6.068275213241577,5.764448679569867
5,50% Hilbert + 50% Greedy NN,27,267115.1153971858,5.904807090759277,6.130775199198046
6,50% Random + 50% Greedy NN,27,266497.78756509954,5.522097587585449,5.885497123960959
5,50% Hilbert + 50% Greedy NN,28,266632.41419976903,5.684739112854004,5.938987279614216
6,50% Random + 50% Greedy NN,28,266961.0064024746,4.852985620498657,6.069544268670035
5,50% Hilbert + 50% Greedy NN,29,266580.62838793994,5.822199821472168,5.918411625010878
6,50% Random + 50% Greedy NN,29,266124.81539781287,5.365416765213013,5.7373069880976235
5,50% Hilbert + 50% Greedy NN,30,267244.2764583963,5.521068572998047,6.182093760977825
6,50% Random + 50% Greedy NN,30,267436.4879206377,4.7718164920806885,6.258463649142021
5,50% Hilbert + 50% Greedy NN,31,266531.67620175146,5.2926926612854,5.898961832886052
6,50% Random + 50% Greedy NN,31,266704.46989802807,5.2137451171875,5.967616610838622
5,50% Hilbert + 50% Greedy NN,32,267200.62904302636,5.159269332885742,6.164751672261648
6,50% Random + 50% Greedy NN,32,266515.5809797444,5.015160799026489,5.892566843272395
5,50% Hilbert + 50% Greedy NN,33,265595.96612871485,4.9601075649261475,5.527183413437897
6,50% Random + 50% Greedy NN,33,265829.6060072293,5.51774263381958,5.6200137326331
5,50% Hilbert + 50% Greedy NN,34,266643.838295791,5.939043045043945,5.9435263270019245
6,50% Random + 50% Greedy NN,34,266307.1235421866,5.875509023666382,5.80974206785243
5,50% Hilbert + 50% Greedy NN,35,266721.3794775723,6.158013582229614,5.974335162810673
6,50% Random + 50% Greedy NN,35,266352.06467255973,5.380235433578491,5.827598178307802
5,50% Hilbert + 50% Greedy NN,36,266211.8867090715,5.867205381393433,5.771902356269698
6,50% Random + 50% Greedy NN,36,266706.86248474836,5.920396327972412,5.968567238746658
5,50% Hilbert + 50% Greedy NN,37,266686.4375794288,5.4414238929748535,5.960451969673564
6,50% Random + 50% Greedy NN,37,266444.38532513194,5.337075233459473,5.864279226513602
5,50% Hilbert + 50% Greedy NN,38,266154.6267280933,5.199024200439453,5.749151692534049
6,50% Random + 50% Greedy NN,38,266006.27901728527,5.1652305126190186,5.690209848214711
5,50% Hilbert + 50% Greedy NN,39,266706.1939855579,5.069632053375244,5.968301629152828
6,50% Random + 50% Greedy NN,39,265952.27186909574,5.046634912490845,5.668751607279421
5,50% Hilbert + 50% Greedy NN,40,266836.52448427415,4.989313840866089,6.020084834458483
6,50% Random + 50% Greedy NN,40,267072.4958043948,6.039692401885986,6.113841487248228
5,50% Hilbert + 50% Greedy NN,41,267121.3099676146,5.90622878074646,6.133236439778389
6,50% Random + 50% Greedy NN,41,266632.41637759877,5.644828796386719,5.938988144914403
5,50% Hilbert + 50% Greedy NN,42,266547.50677390315,5.956859350204468,5.9052516712271075
6,50% Random + 50% Greedy NN,42,266375.8149052496,6.227282285690308,5.837034673890562
5,50% Hilbert + 50% Greedy NN,43,265349.9184043866,5.9249491691589355,5.429423181186999
6,50% Random + 50% Greedy NN,43,265233.17403364193,6.0741658210754395,5.383038046639843
5,50% Hilbert + 50% Greedy NN,44,266714.204146018,6.232327938079834,5.971484244025982
6,50% Random + 50% Greedy NN,44,265831.1401312791,4.729187250137329,5.620623274232495
5,50% Hilbert + 50% Greedy NN,45,266927.5844068101,5.995434045791626,6.056264966585978
6,50% Random + 50% Greedy NN,45,265745.1883147869,5.458851099014282,5.586472706225365
5,50% Hilbert + 50% Greedy NN,46,266517.55236593314,5.476519823074341,5.893350118842999
